stateid,monthid,dose1,dose2
AN,1,360,0
AN,2,387,304
AN,3,4893,227
AN,4,2713,1356
AN,5,429,19
AN,6,8724,4665
AN,7,4575,1539
AP,7,331973,292474
AP,6,331417,101799
AP,4,145179,138488
AP,5,255680,31260
AP,2,37664,12739
AP,1,15323,730
AP,3,247138,19856
AR,1,387,0
AR,2,391,288
AR,3,971,325
AR,4,1253,625
AR,5,2368,21
AR,6,4370,334
AR,7,1182,956
AS,5,18654,3208
AS,6,59427,10532
AS,4,24531,7461
AS,7,133849,17190
AS,2,5065,1168
AS,1,2054,48
AS,3,20242,3711
BR,1,9202,0
BR,2,18650,4580
BR,3,54148,4583
BR,4,63971,13639
BR,5,70861,7096
BR,6,137312,30292
BR,7,212973,43634
CH,7,213077,118210
CH,6,184220,50248
CH,4,97769,50550
CH,5,129710,3766
CH,2,31697,5656
CH,1,6712,117
CH,3,70394,15804
CT,1,8549,45
CT,2,16671,7155
CT,3,119441,6263
CT,4,25849,18541
CT,5,5726,3717
CT,6,100390,36299
CT,7,63842,32521
DL,1,178176,1967
DL,5,1308922,455142
DL,4,1410375,603230
DL,3,1472979,284907
DL,2,320119,118839
DL,6,2311893,687169
DL,7,1248538,1113747
DN,6,156328,18258
DN,5,71916,357
DN,4,8330,5683
DN,3,26622,3910
DN,2,4961,2082
DN,1,2846,41
DN,7,78657,11174
GA,1,7118,184
GA,7,78369,62539
GA,6,187173,47276
GA,5,105484,4032
GA,4,76296,25355
GA,3,51836,12937
GA,2,22000,5980
GJ,2,111052,61666
GJ,1,106345,0
GJ,3,831221,92155
GJ,4,431941,324014
GJ,5,954787,63182
GJ,6,785053,244897
GJ,7,944347,426850
HP,6,87142,33400
HP,7,62903,31359
HP,5,15845,294
HP,2,6984,3084
HP,3,60118,2831
HP,1,3837,0
HP,4,53166,29116
HR,2,17151,5954
HR,1,9254,101
HR,7,120029,77704
HR,6,152630,78879
HR,5,111036,18481
HR,4,80585,62945
HR,3,158176,12666
JH,5,72372,13826
JH,7,115666,44468
JH,6,112030,41766
JH,4,44536,22913
JH,2,17850,9880
JH,1,14246,60
JH,3,91447,11410
JK,1,6621,20
JK,2,13452,3682
JK,3,55692,6185
JK,4,69356,12926
JK,5,77445,987
JK,7,63055,49438
JK,6,87902,23631
KA,7,138555,42046
KA,1,7353,0
KA,2,13509,5434
KA,3,167920,5650
KA,4,56539,41649
KA,5,103361,39663
KA,6,179014,51054
KL,6,106765,171653
KL,7,345396,125768
KL,5,148760,11867
KL,4,83672,106767
KL,3,258718,16931
KL,2,67126,15701
KL,1,17115,0
LA,2,8776,1180
LA,4,8389,11845
LA,5,31144,86
LA,6,14365,10760
LA,7,2096,4631
LA,1,1134,0
LA,3,16902,1496
LD,7,2994,5991
LD,1,1575,0
LD,2,1443,888
LD,3,9452,1917
LD,4,8970,3996
LD,5,19143,293
LD,6,8101,4790
MH,4,167406,91621
MH,1,23695,0
MH,2,37812,14660
MH,3,231888,17761
MH,5,149097,50704
MH,6,215105,85131
MH,7,186758,138155
ML,3,2754,1541
ML,4,8206,2274
ML,7,13522,5499
ML,6,8303,424
ML,2,1951,543
ML,5,3399,54
ML,1,756,0
MN,1,1128,0
MN,6,33705,909
MN,5,12099,87
MN,4,19457,1536
MN,3,1124,2268
MN,2,3244,376
MN,7,51537,16342
MP,1,3437,1
MP,2,2558,2029
MP,6,59909,11894
MP,5,30848,1208
MP,4,8382,5379
MP,3,28367,1607
MP,7,133921,13897
MZ,3,21116,7321
MZ,1,4832,2
MZ,2,13782,4952
MZ,4,69738,8472
MZ,7,19318,48774
MZ,6,138652,31646
MZ,5,35729,370
NL,1,1408,0
NL,3,14529,7127
NL,2,8412,1657
NL,4,27511,5722
NL,6,94120,14401
NL,5,34616,135
NL,7,49456,19736
OR,4,26498,16937
OR,1,9981,0
OR,5,61064,1128
OR,3,66615,4152
OR,7,96185,29817
OR,6,108957,22862
OR,2,6531,7934
PB,6,133131,51482
PB,1,12342,5
PB,2,25637,8061
PB,3,-16021,88569
PB,4,237968,-26253
PB,5,79281,4364
PB,7,150601,63677
PY,5,13772,398
PY,6,38045,10748
PY,4,20523,-3057
PY,3,-1406,7097
PY,2,1894,339
PY,7,22849,3940
PY,1,365,0
RJ,1,25152,0
RJ,4,148369,86905
RJ,6,303591,84623
RJ,5,167323,21206
RJ,3,281795,36343
RJ,2,72054,21403
RJ,7,261873,166684
SK,1,4479,0
SK,2,11062,4183
SK,6,106067,30640
SK,5,27334,172
SK,4,23264,19718
SK,3,42151,4843
SK,7,38019,20618
TG,6,29597,4130
TG,1,3785,57
TG,2,3302,3236
TG,3,20597,1473
TG,4,22544,8454
TG,5,10937,3277
TG,7,12012,13814
TN,1,2629,13
TN,7,161713,23102
TN,2,12331,1683
TN,3,36680,3511
TN,4,26303,18829
TN,5,69020,3280
TN,6,128825,14160
TR,2,7342,4823
TR,3,51687,6352
TR,4,21974,33763
TR,5,13302,688
TR,6,106746,8840
TR,7,41898,9135
TR,1,7830,0
UP,1,16396,0
UP,2,30687,11455
UP,7,327325,81548
UP,3,143019,23024
UP,4,78623,47536
UP,5,262401,9691
UP,6,306449,56223
UT,2,10740,5513
UT,1,6619,0
UT,4,58878,30238
UT,7,76810,49370
UT,6,64766,20256
UT,5,43689,4034
UT,3,57734,7457
WB,2,27256,7136
WB,5,87103,4272
WB,6,64499,45189
WB,7,111668,46590
WB,1,10792,110
WB,3,90045,16199
WB,4,21287,40103
