stateid,vaccineratio
DL,3.2224026619649226
TG,3.9360696093231233
JH,5.095742336948367
AP,5.129828417390091
TN,5.5328409170434885
HR,5.953967985179986
PB,6.4452668644020985
KA,6.515258971838102
MH,6.579185817982559
OR,6.60186895755626
WB,6.645782498225505
RJ,6.991658945835994
AS,7.006831531602256
UP,7.4635881769032775
CT,7.725635208385684
MP,7.758749864247849
BR,7.8442210522377795
GJ,8.362065346344275
KL,9.027857491328223
UT,12.731979218387655
JK,26.31155848290836
TR,48.197015420828684
GA,51.16299081640032
CH,214.97393992932862
HP,1947.0027132951461
PY,10451.891891891892
DN,14654.340425531915
AN,
AR,
LA,
LD,
MN,
ML,
MZ,
NL,
SK,
